,Province,Municipality,Party,BallotType,ValidVotesCast,% Voter Turnout
0,Eastern Cape,BUF - Buffalo City,AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,1244,32.54
1,Eastern Cape,BUF - Buffalo City,AFRICAN CHRISTIAN DEMOCRATIC PARTY,Ward,1275,32.54
2,Eastern Cape,BUF - Buffalo City,AFRICAN INDEPENDENT CONGRESS,PR,8869,32.54
3,Eastern Cape,BUF - Buffalo City,AFRICAN INDEPENDENT CONGRESS,Ward,6731,32.54
4,Eastern Cape,BUF - Buffalo City,AFRICAN NATIONAL CONGRESS,PR,136354,32.54
5,Eastern Cape,BUF - Buffalo City,AFRICAN NATIONAL CONGRESS,Ward,131698,32.54
6,Eastern Cape,BUF - Buffalo City,CONGRESS  OF THE PEOPLE,PR,2258,32.54
7,Eastern Cape,BUF - Buffalo City,CONGRESS  OF THE PEOPLE,Ward,1655,32.54
8,Eastern Cape,BUF - Buffalo City,DEMOCRATIC ALLIANCE,PR,53416,32.54
9,Eastern Cape,BUF - Buffalo City,DEMOCRATIC ALLIANCE,Ward,53374,32.54
10,Eastern Cape,BUF - Buffalo City,ECONOMIC FREEDOM FIGHTERS,PR,18693,32.54
11,Eastern Cape,BUF - Buffalo City,ECONOMIC FREEDOM FIGHTERS,Ward,17697,32.54
12,Eastern Cape,BUF - Buffalo City,INDEPENDENT,Ward,12255,32.54
13,Eastern Cape,BUF - Buffalo City,PAN AFRICANIST CONGRESS OF AZANIA,PR,2228,32.54
14,Eastern Cape,BUF - Buffalo City,PAN AFRICANIST CONGRESS OF AZANIA,Ward,1877,32.54
15,Eastern Cape,BUF - Buffalo City,PAN AFRICANIST MOVEMENT,PR,446,32.54
16,Eastern Cape,BUF - Buffalo City,PAN AFRICANIST MOVEMENT,Ward,88,32.54
17,Eastern Cape,BUF - Buffalo City,PEOPLES ALLIANCE,PR,366,32.54
18,Eastern Cape,BUF - Buffalo City,PEOPLES ALLIANCE,Ward,40,32.54
19,Eastern Cape,BUF - Buffalo City,UNITED CONGRESS,PR,224,32.54
20,Eastern Cape,BUF - Buffalo City,UNITED CONGRESS,Ward,204,32.54
21,Eastern Cape,BUF - Buffalo City,UNITED DEMOCRATIC MOVEMENT,PR,2944,32.54
22,Eastern Cape,BUF - Buffalo City,UNITED DEMOCRATIC MOVEMENT,Ward,1021,32.54
23,Eastern Cape,BUF - Buffalo City,UNITED FRONT OF THE EASTERN CAPE,PR,730,32.54
24,Eastern Cape,BUF - Buffalo City,UNITED FRONT OF THE EASTERN CAPE,Ward,623,32.54
25,Eastern Cape,EC101 - Camdeboo,AFRICAN NATIONAL CONGRESS,PR,12607,30.83
26,Eastern Cape,EC101 - Camdeboo,AFRICAN NATIONAL CONGRESS,Ward,12561,30.83
27,Eastern Cape,EC101 - Camdeboo,DEMOCRATIC ALLIANCE,PR,11466,30.83
28,Eastern Cape,EC101 - Camdeboo,DEMOCRATIC ALLIANCE,Ward,11504,30.83
29,Eastern Cape,EC101 - Camdeboo,ECONOMIC FREEDOM FIGHTERS,PR,459,30.83
30,Eastern Cape,EC101 - Camdeboo,ECONOMIC FREEDOM FIGHTERS,Ward,399,30.83
31,Eastern Cape,EC101 - Camdeboo,INDEPENDENT,Ward,14,30.83
32,Eastern Cape,EC101 - Camdeboo,SERVICE DELIVERY ORGANISATION,PR,177,30.83
33,Eastern Cape,EC101 - Camdeboo,SERVICE DELIVERY ORGANISATION,Ward,115,30.83
34,Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,PR,6447,36.85
35,Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,Ward,6770,36.85
36,Eastern Cape,EC102 - Blue Crane Route,DEMOCRATIC ALLIANCE,PR,4188,36.85
37,Eastern Cape,EC102 - Blue Crane Route,DEMOCRATIC ALLIANCE,Ward,4028,36.85
38,Eastern Cape,EC102 - Blue Crane Route,ECONOMIC FREEDOM FIGHTERS,PR,217,36.85
39,Eastern Cape,EC102 - Blue Crane Route,ECONOMIC FREEDOM FIGHTERS,Ward,221,36.85
40,Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,PR,15078,32.5
41,Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,Ward,14087,32.5
42,Eastern Cape,EC104 - Makana,AZANIAN PEOPLE'S ORGANISATION,PR,208,32.5
43,Eastern Cape,EC104 - Makana,AZANIAN PEOPLE'S ORGANISATION,Ward,142,32.5
44,Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,PR,7134,32.5
45,Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,Ward,6911,32.5
46,Eastern Cape,EC104 - Makana,ECONOMIC FREEDOM FIGHTERS,PR,1382,32.5
47,Eastern Cape,EC104 - Makana,ECONOMIC FREEDOM FIGHTERS,Ward,1127,32.5
48,Eastern Cape,EC104 - Makana,INDEPENDENT,Ward,898,32.5
49,Eastern Cape,EC104 - Makana,UNITED DEMOCRATIC MOVEMENT,PR,195,32.5
50,Eastern Cape,EC105 - Ndlambe,AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,296,40.26
51,Eastern Cape,EC105 - Ndlambe,AFRICAN CHRISTIAN DEMOCRATIC PARTY,Ward,319,40.26
52,Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,PR,13870,40.26
53,Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,Ward,13818,40.26
54,Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,PR,6885,40.26
55,Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,Ward,6823,40.26
56,Eastern Cape,EC105 - Ndlambe,ECONOMIC FREEDOM FIGHTERS,PR,601,40.26
57,Eastern Cape,EC105 - Ndlambe,ECONOMIC FREEDOM FIGHTERS,Ward,464,40.26
58,Eastern Cape,EC105 - Ndlambe,INDEPENDENT,Ward,725,40.26
59,Eastern Cape,EC105 - Ndlambe,UNITED DEMOCRATIC MOVEMENT,PR,600,40.26
60,Eastern Cape,EC105 - Ndlambe,UNITED DEMOCRATIC MOVEMENT,Ward,121,40.26
61,Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,PR,10478,40.79
62,Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,Ward,10540,40.79
63,Eastern Cape,EC106 - Sundays River Valley,DEMOCRATIC ALLIANCE,PR,3206,40.79
64,Eastern Cape,EC106 - Sundays River Valley,DEMOCRATIC ALLIANCE,Ward,3189,40.79
65,Eastern Cape,EC106 - Sundays River Valley,ECONOMIC FREEDOM FIGHTERS,PR,727,40.79
66,Eastern Cape,EC106 - Sundays River Valley,ECONOMIC FREEDOM FIGHTERS,Ward,758,40.79
67,Eastern Cape,EC106 - Sundays River Valley,PAN AFRICANIST CONGRESS OF AZANIA,PR,236,40.79
68,Eastern Cape,EC106 - Sundays River Valley,PAN AFRICANIST CONGRESS OF AZANIA,Ward,243,40.79
69,Eastern Cape,EC106 - Sundays River Valley,UNITED DEMOCRATIC MOVEMENT,PR,76,40.79
70,Eastern Cape,EC108 - Kouga,AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,163,37.05
71,Eastern Cape,EC108 - Kouga,AFRICAN CHRISTIAN DEMOCRATIC PARTY,Ward,184,37.05
72,Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,PR,15409,37.05
73,Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,Ward,15407,37.05
74,Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR,21543,37.05
75,Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,Ward,21364,37.05
76,Eastern Cape,EC108 - Kouga,ECONOMIC FREEDOM FIGHTERS,PR,431,37.05
77,Eastern Cape,EC108 - Kouga,ECONOMIC FREEDOM FIGHTERS,Ward,298,37.05
78,Eastern Cape,EC108 - Kouga,INDEPENDENT,Ward,399,37.05
79,Eastern Cape,EC108 - Kouga,PATRIOTIC ALLIANCE,PR,95,37.05
80,Eastern Cape,EC108 - Kouga,PATRIOTIC ALLIANCE,Ward,64,37.05
81,Eastern Cape,EC108 - Kouga,UNITED DEMOCRATIC MOVEMENT,PR,72,37.05
82,Eastern Cape,EC108 - Kouga,VRYHEIDSFRONT PLUS,PR,247,37.05
83,Eastern Cape,EC108 - Kouga,VRYHEIDSFRONT PLUS,Ward,274,37.05
84,Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,PR,6134,30.05
85,Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,Ward,5972,30.05
86,Eastern Cape,EC109 - Kou-Kamma,DEMOCRATIC ALLIANCE,PR,5281,30.05
87,Eastern Cape,EC109 - Kou-Kamma,DEMOCRATIC ALLIANCE,Ward,5109,30.05
88,Eastern Cape,EC109 - Kou-Kamma,ECONOMIC FREEDOM FIGHTERS,PR,308,30.05
89,Eastern Cape,EC109 - Kou-Kamma,ECONOMIC FREEDOM FIGHTERS,Ward,237,30.05
90,Eastern Cape,EC109 - Kou-Kamma,INDEPENDENT,Ward,421,30.05
91,Eastern Cape,EC109 - Kou-Kamma,KOUKAMMA INDEPENDENT PARTY,PR,167,30.05
92,Eastern Cape,EC109 - Kou-Kamma,KOUKAMMA INDEPENDENT PARTY,Ward,171,30.05
93,Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,PR,50370,38.77
94,Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,Ward,48135,38.77
95,Eastern Cape,EC121 - Mbhashe,AFRICAN PEOPLE'S CONVENTION,PR,496,38.77
96,Eastern Cape,EC121 - Mbhashe,AFRICAN PEOPLE'S CONVENTION,Ward,54,38.77
97,Eastern Cape,EC121 - Mbhashe,CONGRESS  OF THE PEOPLE,PR,751,38.77
98,Eastern Cape,EC121 - Mbhashe,CONGRESS  OF THE PEOPLE,Ward,406,38.77
99,Eastern Cape,EC121 - Mbhashe,DEMOCRATIC ALLIANCE,PR,1533,38.77
100,Eastern Cape,EC121 - Mbhashe,DEMOCRATIC ALLIANCE,Ward,1437,38.77
101,Eastern Cape,EC121 - Mbhashe,ECONOMIC FREEDOM FIGHTERS,PR,2401,38.77
102,Eastern Cape,EC121 - Mbhashe,ECONOMIC FREEDOM FIGHTERS,Ward,1942,38.77
103,Eastern Cape,EC121 - Mbhashe,INDEPENDENT,Ward,6442,38.77
104,Eastern Cape,EC121 - Mbhashe,PAN AFRICANIST CONGRESS OF AZANIA,PR,466,38.77
105,Eastern Cape,EC121 - Mbhashe,PAN AFRICANIST CONGRESS OF AZANIA,Ward,375,38.77
106,Eastern Cape,EC121 - Mbhashe,UNITED DEMOCRATIC MOVEMENT,PR,10147,38.77
107,Eastern Cape,EC121 - Mbhashe,UNITED DEMOCRATIC MOVEMENT,Ward,9309,38.77
108,Eastern Cape,EC121 - Mbhashe,UNITED FRONT OF THE EASTERN CAPE,PR,350,38.77
109,Eastern Cape,EC121 - Mbhashe,UNITED FRONT OF THE EASTERN CAPE,Ward,140,38.77
110,Eastern Cape,EC122 - Mnquma,AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,198,38.23
111,Eastern Cape,EC122 - Mnquma,AFRICAN CHRISTIAN DEMOCRATIC PARTY,Ward,200,38.23
112,Eastern Cape,EC122 - Mnquma,AFRICAN INDEPENDENT CONGRESS,PR,2699,38.23
113,Eastern Cape,EC122 - Mnquma,AFRICAN INDEPENDENT CONGRESS,Ward,78,38.23
114,Eastern Cape,EC122 - Mnquma,AFRICAN NATIONAL CONGRESS,PR,46693,38.23
115,Eastern Cape,EC122 - Mnquma,AFRICAN NATIONAL CONGRESS,Ward,48249,38.23
116,Eastern Cape,EC122 - Mnquma,CONGRESS  OF THE PEOPLE,PR,1429,38.23
117,Eastern Cape,EC122 - Mnquma,CONGRESS  OF THE PEOPLE,Ward,1280,38.23
118,Eastern Cape,EC122 - Mnquma,DEMOCRATIC ALLIANCE,PR,2931,38.23
119,Eastern Cape,EC122 - Mnquma,DEMOCRATIC ALLIANCE,Ward,2993,38.23
120,Eastern Cape,EC122 - Mnquma,ECONOMIC FREEDOM FIGHTERS,PR,3183,38.23
121,Eastern Cape,EC122 - Mnquma,ECONOMIC FREEDOM FIGHTERS,Ward,2713,38.23
122,Eastern Cape,EC122 - Mnquma,INDEPENDENT,Ward,1971,38.23
123,Eastern Cape,EC122 - Mnquma,KINGDOM GOVERNANCE MOVEMENT,PR,60,38.23
124,Eastern Cape,EC122 - Mnquma,KINGDOM GOVERNANCE MOVEMENT,Ward,8,38.23
125,Eastern Cape,EC122 - Mnquma,PAN AFRICANIST CONGRESS OF AZANIA,PR,615,38.23
126,Eastern Cape,EC122 - Mnquma,PAN AFRICANIST CONGRESS OF AZANIA,Ward,776,38.23
127,Eastern Cape,EC122 - Mnquma,UNITED CONGRESS,PR,425,38.23
128,Eastern Cape,EC122 - Mnquma,UNITED CONGRESS,Ward,275,38.23
129,Eastern Cape,EC122 - Mnquma,UNITED DEMOCRATIC MOVEMENT,PR,4738,38.23
130,Eastern Cape,EC122 - Mnquma,UNITED DEMOCRATIC MOVEMENT,Ward,4492,38.23
131,Eastern Cape,EC123 - Great Kei,AFRICAN NATIONAL CONGRESS,PR,7604,43.0
132,Eastern Cape,EC123 - Great Kei,AFRICAN NATIONAL CONGRESS,Ward,7237,43.0
133,Eastern Cape,EC123 - Great Kei,DEMOCRATIC ALLIANCE,PR,2026,43.0
134,Eastern Cape,EC123 - Great Kei,DEMOCRATIC ALLIANCE,Ward,1986,43.0
135,Eastern Cape,EC123 - Great Kei,ECONOMIC FREEDOM FIGHTERS,PR,523,43.0
136,Eastern Cape,EC123 - Great Kei,ECONOMIC FREEDOM FIGHTERS,Ward,489,43.0
137,Eastern Cape,EC123 - Great Kei,INDEPENDENT,Ward,1034,43.0
138,Eastern Cape,EC123 - Great Kei,PAN AFRICANIST CONGRESS OF AZANIA,PR,48,43.0
139,Eastern Cape,EC123 - Great Kei,PAN AFRICANIST CONGRESS OF AZANIA,Ward,22,43.0
140,Eastern Cape,EC124 - Amahlathi,AFRICAN NATIONAL CONGRESS,PR,21833,41.24
141,Eastern Cape,EC124 - Amahlathi,AFRICAN NATIONAL CONGRESS,Ward,21457,41.24
142,Eastern Cape,EC124 - Amahlathi,CONGRESS  OF THE PEOPLE,PR,365,41.24
143,Eastern Cape,EC124 - Amahlathi,CONGRESS  OF THE PEOPLE,Ward,304,41.24
144,Eastern Cape,EC124 - Amahlathi,DEMOCRATIC ALLIANCE,PR,2462,41.24
145,Eastern Cape,EC124 - Amahlathi,DEMOCRATIC ALLIANCE,Ward,2395,41.24
146,Eastern Cape,EC124 - Amahlathi,ECONOMIC FREEDOM FIGHTERS,PR,2326,41.24
147,Eastern Cape,EC124 - Amahlathi,ECONOMIC FREEDOM FIGHTERS,Ward,2249,41.24
148,Eastern Cape,EC124 - Amahlathi,INDEPENDENT,Ward,1537,41.24
149,Eastern Cape,EC124 - Amahlathi,PAN AFRICANIST CONGRESS OF AZANIA,PR,68,41.24
150,Eastern Cape,EC124 - Amahlathi,PAN AFRICANIST CONGRESS OF AZANIA,Ward,76,41.24
151,Eastern Cape,EC124 - Amahlathi,PAN AFRICANIST MOVEMENT,PR,75,41.24
152,Eastern Cape,EC124 - Amahlathi,PAN AFRICANIST MOVEMENT,Ward,48,41.24
153,Eastern Cape,EC124 - Amahlathi,PEOPLES ALLIANCE,PR,42,41.24
154,Eastern Cape,EC124 - Amahlathi,PEOPLES ALLIANCE,Ward,13,41.24
155,Eastern Cape,EC124 - Amahlathi,UNITED DEMOCRATIC MOVEMENT,PR,186,41.24
156,Eastern Cape,EC124 - Amahlathi,UNITED RESIDENTS FRONT,PR,177,41.24
157,Eastern Cape,EC124 - Amahlathi,UNITED RESIDENTS FRONT,Ward,174,41.24
158,Eastern Cape,EC126 - Ngqushwa,AFRICAN NATIONAL CONGRESS,PR,19199,49.3
159,Eastern Cape,EC126 - Ngqushwa,AFRICAN NATIONAL CONGRESS,Ward,17686,49.3
160,Eastern Cape,EC126 - Ngqushwa,DEMOCRATIC ALLIANCE,PR,638,49.3
161,Eastern Cape,EC126 - Ngqushwa,DEMOCRATIC ALLIANCE,Ward,572,49.3
162,Eastern Cape,EC126 - Ngqushwa,ECONOMIC FREEDOM FIGHTERS,PR,1830,49.3
163,Eastern Cape,EC126 - Ngqushwa,ECONOMIC FREEDOM FIGHTERS,Ward,1662,49.3
164,Eastern Cape,EC126 - Ngqushwa,INDEPENDENT,Ward,1865,49.3
165,Eastern Cape,EC126 - Ngqushwa,PAN AFRICANIST CONGRESS OF AZANIA,PR,119,49.3
166,Eastern Cape,EC126 - Ngqushwa,PAN AFRICANIST CONGRESS OF AZANIA,Ward,133,49.3
167,Eastern Cape,EC129 - Nkonkobe/Nxuba,AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,164,43.06
168,Eastern Cape,EC129 - Nkonkobe/Nxuba,AFRICAN CHRISTIAN DEMOCRATIC PARTY,Ward,67,43.06
169,Eastern Cape,EC129 - Nkonkobe/Nxuba,AFRICAN NATIONAL CONGRESS,PR,35725,43.06
170,Eastern Cape,EC129 - Nkonkobe/Nxuba,AFRICAN NATIONAL CONGRESS,Ward,34232,43.06
171,Eastern Cape,EC129 - Nkonkobe/Nxuba,AFRICAN PEOPLE'S CONVENTION,PR,322,43.06
172,Eastern Cape,EC129 - Nkonkobe/Nxuba,AFRICAN PEOPLE'S CONVENTION,Ward,48,43.06
173,Eastern Cape,EC129 - Nkonkobe/Nxuba,DEMOCRATIC ALLIANCE,PR,4517,43.06
174,Eastern Cape,EC129 - Nkonkobe/Nxuba,DEMOCRATIC ALLIANCE,Ward,4338,43.06
175,Eastern Cape,EC129 - Nkonkobe/Nxuba,ECONOMIC FREEDOM FIGHTERS,PR,2711,43.06
176,Eastern Cape,EC129 - Nkonkobe/Nxuba,ECONOMIC FREEDOM FIGHTERS,Ward,2097,43.06
177,Eastern Cape,EC129 - Nkonkobe/Nxuba,INDEPENDENT,Ward,3129,43.06
178,Eastern Cape,EC129 - Nkonkobe/Nxuba,PAN AFRICANIST CONGRESS OF AZANIA,PR,298,43.06
179,Eastern Cape,EC129 - Nkonkobe/Nxuba,PAN AFRICANIST CONGRESS OF AZANIA,Ward,457,43.06
180,Eastern Cape,EC129 - Nkonkobe/Nxuba,UNITED DEMOCRATIC MOVEMENT,PR,454,43.06
181,Eastern Cape,EC129 - Nkonkobe/Nxuba,UNITED DEMOCRATIC MOVEMENT,Ward,225,43.06
182,Eastern Cape,EC131 - Inxuba Yethemba,AFRICAN NATIONAL CONGRESS,PR,10106,32.7
183,Eastern Cape,EC131 - Inxuba Yethemba,AFRICAN NATIONAL CONGRESS,Ward,10045,32.7
184,Eastern Cape,EC131 - Inxuba Yethemba,DEMOCRATIC ALLIANCE,PR,6728,32.7
185,Eastern Cape,EC131 - Inxuba Yethemba,DEMOCRATIC ALLIANCE,Ward,6730,32.7
186,Eastern Cape,EC131 - Inxuba Yethemba,ECONOMIC FREEDOM FIGHTERS,PR,470,32.7
187,Eastern Cape,EC131 - Inxuba Yethemba,ECONOMIC FREEDOM FIGHTERS,Ward,428,32.7
188,Eastern Cape,EC135 - Intsika Yethu,AFRICAN NATIONAL CONGRESS,PR,36163,46.4
189,Eastern Cape,EC135 - Intsika Yethu,AFRICAN NATIONAL CONGRESS,Ward,35330,46.4
190,Eastern Cape,EC135 - Intsika Yethu,AFRICAN PEOPLE'S CONVENTION,PR,418,46.4
191,Eastern Cape,EC135 - Intsika Yethu,AFRICAN PEOPLE'S CONVENTION,Ward,279,46.4
192,Eastern Cape,EC135 - Intsika Yethu,CONGRESS  OF THE PEOPLE,PR,338,46.4
193,Eastern Cape,EC135 - Intsika Yethu,CONGRESS  OF THE PEOPLE,Ward,19,46.4
194,Eastern Cape,EC135 - Intsika Yethu,DEMOCRATIC ALLIANCE,PR,1027,46.4
195,Eastern Cape,EC135 - Intsika Yethu,DEMOCRATIC ALLIANCE,Ward,974,46.4
196,Eastern Cape,EC135 - Intsika Yethu,ECONOMIC FREEDOM FIGHTERS,PR,2890,46.4
197,Eastern Cape,EC135 - Intsika Yethu,ECONOMIC FREEDOM FIGHTERS,Ward,2755,46.4
198,Eastern Cape,EC135 - Intsika Yethu,INDEPENDENT,Ward,2816,46.4
199,Eastern Cape,EC135 - Intsika Yethu,INKATHA FREEDOM PARTY,PR,91,46.4
200,Eastern Cape,EC135 - Intsika Yethu,INKATHA FREEDOM PARTY,Ward,26,46.4
201,Eastern Cape,EC135 - Intsika Yethu,PAN AFRICANIST CONGRESS OF AZANIA,PR,597,46.4
202,Eastern Cape,EC135 - Intsika Yethu,PAN AFRICANIST CONGRESS OF AZANIA,Ward,346,46.4
203,Eastern Cape,EC135 - Intsika Yethu,PAN AFRICANIST MOVEMENT,PR,341,46.4
204,Eastern Cape,EC135 - Intsika Yethu,PAN AFRICANIST MOVEMENT,Ward,126,46.4
205,Eastern Cape,EC135 - Intsika Yethu,UNITED DEMOCRATIC MOVEMENT,PR,2331,46.4
206,Eastern Cape,EC135 - Intsika Yethu,UNITED DEMOCRATIC MOVEMENT,Ward,1409,46.4
207,Eastern Cape,EC136 - Emalahleni,AFRICAN NATIONAL CONGRESS,PR,29449,47.97
208,Eastern Cape,EC136 - Emalahleni,AFRICAN NATIONAL CONGRESS,Ward,29489,47.97
209,Eastern Cape,EC136 - Emalahleni,AFRICAN PEOPLE'S CONVENTION,PR,282,47.97
210,Eastern Cape,EC136 - Emalahleni,AFRICAN PEOPLE'S CONVENTION,Ward,252,47.97
211,Eastern Cape,EC136 - Emalahleni,CONGRESS  OF THE PEOPLE,PR,122,47.97
212,Eastern Cape,EC136 - Emalahleni,CONGRESS  OF THE PEOPLE,Ward,63,47.97
213,Eastern Cape,EC136 - Emalahleni,DEMOCRATIC ALLIANCE,PR,4019,47.97
214,Eastern Cape,EC136 - Emalahleni,DEMOCRATIC ALLIANCE,Ward,4201,47.97
215,Eastern Cape,EC136 - Emalahleni,ECONOMIC FREEDOM FIGHTERS,PR,983,47.97
216,Eastern Cape,EC136 - Emalahleni,ECONOMIC FREEDOM FIGHTERS,Ward,912,47.97
217,Eastern Cape,EC136 - Emalahleni,PAN AFRICANIST MOVEMENT,PR,243,47.97
218,Eastern Cape,EC136 - Emalahleni,PAN AFRICANIST MOVEMENT,Ward,181,47.97
219,Eastern Cape,EC136 - Emalahleni,UNITED DEMOCRATIC MOVEMENT,PR,733,47.97
220,Eastern Cape,EC136 - Emalahleni,UNITED DEMOCRATIC MOVEMENT,Ward,783,47.97
221,Eastern Cape,EC137 - Engcobo,AFRICAN INDEPENDENT CONGRESS,PR,476,42.24
222,Eastern Cape,EC137 - Engcobo,AFRICAN INDEPENDENT CONGRESS,Ward,317,42.24
223,Eastern Cape,EC137 - Engcobo,AFRICAN NATIONAL CONGRESS,PR,30492,42.24
224,Eastern Cape,EC137 - Engcobo,AFRICAN NATIONAL CONGRESS,Ward,31044,42.24
225,Eastern Cape,EC137 - Engcobo,AFRICAN PEOPLE'S CONVENTION,PR,268,42.24
226,Eastern Cape,EC137 - Engcobo,AFRICAN PEOPLE'S CONVENTION,Ward,226,42.24
227,Eastern Cape,EC137 - Engcobo,DEMOCRATIC ALLIANCE,PR,646,42.24
228,Eastern Cape,EC137 - Engcobo,DEMOCRATIC ALLIANCE,Ward,760,42.24
229,Eastern Cape,EC137 - Engcobo,ECONOMIC FREEDOM FIGHTERS,PR,1545,42.24
230,Eastern Cape,EC137 - Engcobo,ECONOMIC FREEDOM FIGHTERS,Ward,1331,42.24
231,Eastern Cape,EC137 - Engcobo,INDEPENDENT,Ward,877,42.24
232,Eastern Cape,EC137 - Engcobo,PAN AFRICANIST CONGRESS OF AZANIA,PR,222,42.24
233,Eastern Cape,EC137 - Engcobo,PAN AFRICANIST CONGRESS OF AZANIA,Ward,296,42.24
234,Eastern Cape,EC137 - Engcobo,PAN AFRICANIST MOVEMENT,PR,160,42.24
235,Eastern Cape,EC137 - Engcobo,PAN AFRICANIST MOVEMENT,Ward,56,42.24
236,Eastern Cape,EC137 - Engcobo,UNITED DEMOCRATIC MOVEMENT,PR,2254,42.24
237,Eastern Cape,EC137 - Engcobo,UNITED DEMOCRATIC MOVEMENT,Ward,2199,42.24
238,Eastern Cape,EC137 - Engcobo,UNITED FRONT OF THE EASTERN CAPE,PR,550,42.24
239,Eastern Cape,EC137 - Engcobo,UNITED FRONT OF THE EASTERN CAPE,Ward,154,42.24
240,Eastern Cape,EC138 - Sakhisizwe,AFRICAN NATIONAL CONGRESS,PR,13287,44.04
241,Eastern Cape,EC138 - Sakhisizwe,AFRICAN NATIONAL CONGRESS,Ward,13491,44.04
242,Eastern Cape,EC138 - Sakhisizwe,AFRICAN PEOPLE'S CONVENTION,PR,153,44.04
243,Eastern Cape,EC138 - Sakhisizwe,AFRICAN PEOPLE'S CONVENTION,Ward,129,44.04
244,Eastern Cape,EC138 - Sakhisizwe,CONGRESS  OF THE PEOPLE,PR,257,44.04
245,Eastern Cape,EC138 - Sakhisizwe,CONGRESS  OF THE PEOPLE,Ward,272,44.04
246,Eastern Cape,EC138 - Sakhisizwe,DEMOCRATIC ALLIANCE,PR,1152,44.04
247,Eastern Cape,EC138 - Sakhisizwe,DEMOCRATIC ALLIANCE,Ward,1158,44.04
248,Eastern Cape,EC138 - Sakhisizwe,ECONOMIC FREEDOM FIGHTERS,PR,750,44.04
249,Eastern Cape,EC138 - Sakhisizwe,ECONOMIC FREEDOM FIGHTERS,Ward,739,44.04
250,Eastern Cape,EC138 - Sakhisizwe,PAN AFRICANIST CONGRESS OF AZANIA,PR,125,44.04
251,Eastern Cape,EC138 - Sakhisizwe,PAN AFRICANIST CONGRESS OF AZANIA,Ward,149,44.04
252,Eastern Cape,EC138 - Sakhisizwe,PAN AFRICANIST MOVEMENT,PR,63,44.04
253,Eastern Cape,EC138 - Sakhisizwe,PAN AFRICANIST MOVEMENT,Ward,19,44.04
254,Eastern Cape,EC138 - Sakhisizwe,UNITED DEMOCRATIC MOVEMENT,PR,449,44.04
255,Eastern Cape,EC138 - Sakhisizwe,UNITED DEMOCRATIC MOVEMENT,Ward,437,44.04
256,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,AFRICAN NATIONAL CONGRESS,PR,47997,39.02
257,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,AFRICAN NATIONAL CONGRESS,Ward,48234,39.02
258,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,CONGRESS  OF THE PEOPLE,PR,840,39.02
259,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,CONGRESS  OF THE PEOPLE,Ward,630,39.02
260,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,DEMOCRATIC ALLIANCE,PR,8710,39.02
261,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,DEMOCRATIC ALLIANCE,Ward,8399,39.02
262,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,ECONOMIC FREEDOM FIGHTERS,PR,5142,39.02
263,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,ECONOMIC FREEDOM FIGHTERS,Ward,5119,39.02
264,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,INDEPENDENT,Ward,111,39.02
265,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,INDEPENDENT RATEPAYERS ASSOCIATION OF SA,PR,218,39.02
266,Eastern Cape,EC139 - Tsolwana/Inkwanca/Lukanji,INDEPENDENT RATEPAYERS ASSOCIATION OF SA,Ward,353,39.02
